Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15,Year16,Year17,Year18,Year19,Year20,Year21,Year22,Year23,Year24,Year25,Year26,Year27,Year28,Year29,Year30
79,14,,81,58,,69-27-15,,,,81-72,43,91,,,,,,14,,,,,,,,,31,,58
,12,,52,,,,70,81,58,,1,,,,,,,14,20,,,,,96,91,,,,81
20,,,,77,,,,,14,,,,,,,,80-63,81,92-55,91,,,14,65,,,33,,
,81-95,,60,18,,,,,27-91,,,15,14,86-1,,,,,,,,14,,,,,,81,72
,,,,,,,,,14,,,,,,,,52-33,,,36,,,,,,,81,,52
,,,,1,,,,,,,,,,,14-33-63,,72,,96,,14,,,,,33,52-52,,
82,,,,,70,52,,,,,91,,69,,81,,,,,52,,,20,52,,,4,,
91-15,,,,20,,,,43-16,,,33,,72,,52,64,91-33,,,,,14,,65-91,,87-14-95,81,,
4,,38,,,,,,,,,,,,,,,,90,,,,,,,,,,,
52,14-1,,71,,,,33-82,1,21,,52,,,,,,,43,,,,79,,,,,,,
,,,,,52,,,,,,18-72,,,33,,,46,,,,14,,16-58-52,,,,,52,81
92,,,,65-33,,,46,,,,,52,,,,,63,,,,85-84,95,57,91,81,33-91,,14,
,,,91,,,80,72,,,,58,,,4,,,,52,,,51,,65-91,43-81,14,,33,,
,,,,,,52,,,14,36,,33,15,,,26,14,,,,,,,,,,52,43,
,,,,,,74,,,,16,,,,,50,11,,,,,58,,,,,,91-72,,
33,,,,23,52-11,,81,52,,,52,,,,,,,,,52,,,,,,4,89,52,
,84,14,,,83,,81,,,,,28,,,,,,,,,96-79,,,81-81,,,91,,
96,,,,,52,70,72-91,,52,,,72,,,,20,,,,,70,,,91,,15,,,
,,,81-52,,,,,52,,,,,,91-13,,,,,,36,,,,,72,,,,
,,,33,,33,,58-20,52,20,52,,12,,79-35,,,,,,71,81,,92,,11,,,,
,57,,92,,,84-4,90,,,,33,,,,,,,,,,,,65,,,,,84-16,14
,,14,,,,,,,52,,58,,,59,,,,,66,81,61,,,95,33,61,,,
52,90,,91,33,59,,,,91,,,52,74,,,,,80,,,52,,43,,81-91,,52,,43
,33-15-91,,,,,,52,,,,43,,,,,,,,,,,3,,48,,,74-43,,58
,84,,,,,,,,,,84,,,,81-52,,,,,,,,74-92,,,,43,,
,,20,,,,,,,,43,,,,,,,,,84,,36,,74,,,,,,12-6-91
97,,33,,80,,,,,,,,,27,,,20,66,43,,,,,,96,,1,,,
,,,,52,36-36,,11,8,43,,61,,95,32,74,,,,,52,,,11,36,,81,,,24
,95-3,,,74,20,,,,33,,,33,,,,49,,,57-58,,,,74,,,,,,52
,,,,,52,,92,,58,58-20,,87-33,,,81,,81,,,,33,,,,52-82,,14,,
,,33,,52,,81,,,3,38,,,,48,,,,43,,,,,,,,15-33,,83,
3,,,,,52-63,,,,,,,8,52,,,84,,,8,81,,,1,,,95,,,26
,,,52,,37,,,20,71,58,,91,,,,,69,,81,,65,,,,,33-81,,,
84,70-52-33,,,,,,,,,,18,,,61,,,,81,,,,48,4,,,11-33,,18,
14,,,81,,,1,,,71,,,85,14-81,,11,92,,,,,70,91,,,,,,1,
,69,,,96,,33,,,,,52,33,95,51,,33,15,,33,,,,,52,,,,11,
71,,,,91,81,52,,,,,,33,,,,,14,52,,95,,57,84,69,,,,,
,,13,81,74,,14,,,96,,,,,,,,61,,,,,,,18,,,,,
,11,,,,,96-72,52-4,,,,,,,,,,1,,89,43,,,,41,,,,,
,,70,,,,33,,85-14,,,,,,52,,,,,,,,,,,,,20-71,,
,,,,,1,66,14,,,37,83-63,,70,,,,57-69,,,,,8,81,,92,,,11-43,
,,,50,,81,,,,,70,,58,,,,,91,90,,79-74,96-91-52,,,,,,,,95
49,60,,52,,,81-91,,16,,,33,,,,,8,,,,,,,,,,91,,79,
,,,,,84,,33,,,,,,88,,,,,,,91,,,,,,61-81,,,33-33-14
,52,,,,,,14,,,,,33,,,52,81,28-60,,,,74,,81,33,,,,,
,,,,69,,81,,,14,,,,28,84,,,,36,,,,,,,,,,,36
,,92,,,,95,,,,,,,,36,,,,14-33,52,14,,,14,,11-80-59,14,,,91
,52-74,,,,,,58,,,,,,,,,,81,,74,,,18,,,,,87,33,
,81,43,,14,,47,,,,,57,,95,91,81-69,,,,,,,33,,,,16,,,57
,,79,,,,74,,,,,79,,,,,91,,,,,,,,43,,,,,
,,,,,,,37,,,,,,36-58,,,,50,,70,,91,,,14,,,,,
58,91,,52,,52,,34,,,52,50-34,,,74,,,81,,6,,,43-91,,,,,,43,
,36,12,16,,,,,,,,95,,,,,,,81,,,,11,,95,,,92,52,
,69,,,91,,,4,,,91-52,70,,,,,33,,52,81,,21,,,20,,,81,,
,65,,,,,,,97,95-97,,97-27,,74,,,,,,91,43,24,,33,52,36,81,,,
14,,,52,,,,,,,,,,96,,92,33,,,,94,,,,,72-84-14,,70,,33
,20,,,52,,,,11,,,,,,11,52,,,63,52,,,,,,,,,,92
,95-85-48,,92,,92,,1,,,92-81,,,,79-4,57,16-14,,,,,52,,,,,81,,,
81-14,,43,,,20,41,52,,74-48,,,,,,,,88,81,70-91-65,20,,,,,,,,,
58,63,92-1,,,,,63-58,,,,,,,,,,,,,20,,,61,,,,,,52
20,,,,,,84,,,,,,,,84-81,,81,,33,,,81-52,96,,,36,11,,,
,,,97,,8-51,,18-91,,,52-52,,,,,,,,26,15,52-66-20,11-52-18,,,58,52-55,,,,
,,,11,,,,,,,48,,,1,52,20,,51,92,,,,,,,61,,,,43
,91,,,81,,,,,,,,,33,50,,,4,,,15,84,,,,,,70,,
,,,,,,,91,,16,72,81,,,,,,,33,,,,,,27-1,,,,,38
81,,,,,,43,,,72,,,43-91-86,,38,,91,43-38,,,,,,,,,,,,58
,,,11,,,,71,,,,,,,81,,95,,1,,,1-16,,,,1,43,,,81-33
,,70,,,,,81,,,91,88,,,84,52,,36,,,,91,,,,33,,,47,
15,,,14,96,81,,,,,52,,14-33,1,,,15,,,,,33,14,21,,,,,,
,,,58,,20,,81,38,,,,,,,,,81,92,,,,,52-1,,,,,,
,,,52-16,,,,84-80,,,,,,,,58,8,,,91,52,,,,,,72,,,60
,60,,,81,8,,,,91,,,63,,,90-52,92,,,,,,,,,,,,,52
,58,,,,,,,,,52-43,,,16,,,,,14,61,12-33,,85,,,,8,,,
,,,69,,,33,,,96,,,,,,1,,,,,,,,,33,,,91,,
,,,,,,,,,,,40,,15-60,,,91,,81,52,,,,,52,,,52,,
,,50-52,,,,96,,50,63,,,,81,,,91,,72,87,,31,,,,,,,,40
,81,52,43,,,,,43-52,,43,,,,58,,91,,,,,,,,50,,,,,
,95,,,,,,,,,,,,,,,,,,,,,,95,50,,20,,,
32,81-52,14,,,91,,,,14,,,,,,,16,,,,20,8,74,,4,14,,,16-11,52
82,87,,,38,,,,,,43,,,33,52,,,,,11,,52,,,,,70,,,
,,95,,74,52,43,,52,,,92,,,,,,,,,,27,,,,43-65,,,,
,,1,,,,,33,,,81,,,,,,,,,65,,,40,,52,,,,71-61,
,,,91-84,,81,,58,,,43,,,,,,71,,,,,,,57,58-33,91,,,,
,91,,,,,,,6,,,,,,,14-79,,,,14,,,,,,,,,,
,36,84,,,,,,,,,,,84,,,1,74-81,28,,84,,,,,,58,,,52
,,,,,,52,91-81,,,58,81,,,,,,61-15,,,,33,81,81-58,,,,,,
1,,,,,,,,,,71,,,48,70,,,,65,,,,,,,43,14,81,,
,60,91,36,81,,,,36,52,,,,,,33,,,,,,,27,52,,,,,15-31,
,,,,,,,,,,,52,,,,,,81,,,,,,84,21,16,,,,
16,,,52-91,,,,,,,,43-52,,,16,,8-83,,81,,14,,,20-52,,,,33,,
,,,,,,,,,,94-52,,84,,,,,,,,,,14,52,,,,,,14
,,,84-43,,,,,,,40,48,,,,,,,,,,,,,,,70,,,
52,33,,,14,,,,,33-51,3,,,,,,,20,,,,,,,,49,91,,58,
,,33,,,,14,,,81,,91,,,,,,,4,,57,20,,,,,33-81,,,
,,,16,57,,,4,81,,,,,,,,,,14,11,,,,,,52,,58,43,
,,,,81,,,,52,,,61-63,52-34,,52-81,,,,,59,,,33-95,,81,,,,,
,,83,58,52,63,,,,,,,,81,,,,,,12,,,,,33,,,,,
,,36,33,72,,,,,20,97,,,,47,,,,,,,,45,,14,,,,91-53,
,72,,,,,,,18,52,95,,,,71,,48,,91,65-91,52,,43,,,,,,,
47,,,,,33,26-14-92,,,,,52,,43,,,,15-52,,,,51,,,,,81,,,
,,,72,,50,,33,,,52,,,,91,,,43,,71-33,,,95,,,1,27,,,
,,,81,,,,,33,81-81,,,20-81,14,,,,,,91,,70,,81,,81,,,,
,52,,,,,,,,,,,41,,,,,,,,,,,92,,,14-81,,,
,,81,,63,,,,,,,,,,,,16-94-43,,21,,,,,52,,33,,,83,
,,,81-52,,,,,51,,,,,81,,18-1,,,,,,,,,,,,61,,
,81,,52,,,,40,,,,8,,,,,,91,,,,,,,87,,,,92,
,,,92,,,,66,,,11,81,,,,,,58-11,91,,8,,43-27,,,,,40,,15
,91,,,,,,,74,,52,,,81,,,,,,,,,,,,,74-33,,,
,,52,,,,52,,,,,,,,,,,,,74,,,,40,33-14,84,,16,,
8,,,,,,,,,65,,20,,66-90,74,,,,20,91,,,52,,14,,,,81-8,
,,,,,,38,96,,,,,33-81,,38,,,,,,,,,,,11,,,,
,,43,,,,,,,,38,81,52,,27,,14-86,,15,,,63,,81-43,,,,,90,
,,,,,,81,,91,50,,74-52,,,,,,,,,74-70,13,,1,,,,33,,
,81,,58,,,11,,,,33,,,,70,,,,,95,,14,,,,,,,24-63,
,,81,,,95,52-36,74,,85,,,,,,,,43,47,,,,16-81,43-84,,91,91,,,23
,,83,20,,,,,,,,74,,58,81,,16,,15,81-15,11-14,8,,,,,,,,
,,14,,81,,,,,45,,,,,,,,81-23,,,,,,,,84,,52-91,,36-92
,,,,,57,,,,,,,,,,52,,,57,,,12,,,63-74,,,,,63-95
,,,,,33,,36,,33,,,33,52,,,,,,,91,31-63,,,,,,,36,
94,,,,,,91,,,,,,,,,14,,,,92,,,,,,97,,84,52,20
,,,33,,,91,79-90,33,84,,,,,,,,,,,50,,,,,90,11,,,
16,,,14,33,,,1,33,61,,52,20,81-52,,,52,,,,14,92,,14,,,,,,
27,,,90,,,,,,,38,43,,28,,,,,,1,14,18-38-91,,,,,,,,15
27,,,,57,,,,57-69,,,,,,,52,,14,,,,,,52,,,27,,,
,15,52,,,,,,,,,20,52,,,,,,,,,,,,,,91-14,4,72,
85,,,,,,,,,,,,,20,,43,,,,,,,,,91-50-95,18,,,83-52,
81-91,,66,,,,,,91,,,,,,91,,81,,28,83-52,,,,,,,58,,61,
,91,,48,,,,,,,,,33-90,,,,,,90,,,,,,,,,,,
,58,,,,91,,,,70,,52,27,,,,,63-81,81-52,97,,86,,,,,81,12,52-33,
6-57,,,,81,15,,,,,33,,74-43,,52,,14,71,52,,,,65,,,92,,,,81-52-94
,,14,57,28,,84,,,,84,,,,,,,,33,,,,84,,,58,,,,
,52,,,52,,,,,1,,55-1,26,52,36-81,,,,,81,,,,33,33,,,,,
,,,,27-18,52,,,,,,11-36,91,,,,,,,36,52,,,,,,,16,81,
,74-58,97,51,,,,,,81,20,,,,,26,,,14,,91,,,1,60-33-20,14,23,58,,85
,,,,,81-50,97,,95,14,,46,71,16,,,,65,52,48,,72,91,,,79,69,,,
,,,,,,,,37,,33,,91,,,,,81,14,,96-43,,14,,,,,96-52-43-86,52,
,15,,,,,,,,,,,,,33,,,,70-33,4,,,,,,,,,43,43
1,,,,,33,81,91,80-81,84-58,,,,52,,,,,,57,,,,,,,51,59,,15
,,,,71,,,,95,,52-58,,,81,,70,,,,4,13-33,,,,33,,,,,1-33
,52,14,52,33,81,,,,,43,,,36,,,,,61-48,,,,15,,,52,,,69-84,
,26,,,,,51,,,91-95,,,,,,,33,,,,,,,,20,,27,,,
,,15,,,91-96,,91,,,,,8,20,,,90,,,,,81,,,,,58,,,
33-1,,70,,,20-33,33-14,,,,91,,36,83-13,,70,,,,,,43-1,,,,,,,,
,,,,,,,,,43,,,,,,,,,,63,,,,,14,,,,,
,,15,,,58,14,33,,36,,,,,,,,,,,,,,,,,38,,38,
,83,,,,,,,,,,,94-11,,74-33,,84,,,,,,,83,,20,,,,11-95
,,61,,33,,40,,27,,,14,,,,81,,,,15,,,,,,,,63,33,
,,,,,,,,,33-57-58,,,81,,,43-52,,81-90,,,,,,,,,33,,14,
81-88,,,,,,,,81,,,,,,91,,,,,14,,,80,52,,,27,,,
,,,,,,,,,,,70,,81,,40-52,,52,,91,33,58,,,,,,33,,57
,97,,,,33-52,,,,95-58,,4,52-81,,,,,,,40,,,,,,,,43,33,
61,,,51,,,52,,,40-61,15,,,84,,,43,,,,,,52,,,90,,,,
,71,,,14,33,16,33,43-83,52,,,,,,,,,,63,,,63,,,,,,,
14-52,1-33,,,,,,61,,,,92,,,,,,,,,52,,,,,31,,,,
4,20-48,14,,,,,,,,,91,,,52,,4,57,,72,91,,,,,,,,,31
,,,63,,,,,52,,,,,,,,,,,81,,,,,,,,,,52
,,51,52,,95,,,,,,,,,,,,33,,,,,,70,,,20,,33,69-27
,,,81-20,48,,,81,43,33,90,,8,,,,,,,,,,47,11-81,,90-14,,,,52
,,,,,,,,11-3,,59,91,,,,,,,,,,,91,,,,,94-48,,
,31,,,,,14,8,,,48,,,,,,,,,,31,,,36-52,,,,,,95
,52,,11,,26,,,,,,81,20,,23,,,,,,65,,,,,,,,,
,14,1,14,,90,33,,43,1,,,,,,,1,,,,,14,57,,89,57,,33,,
,,57,,81-14,,,,8-81,,,,,,,,,,,,,48,,,27,27-48,,52,,
1,,,31,,,,3,,,,,,,,70-97-95,,,40,,,,,,,81,,,81,
91,,81,,,,,,92,,,,,38,70-25,,,81-58,43,,,,,,,,,,,
,,,,14,,96,,58,14-52,,,,33,,,,50,,,33,,71,33,36,,,82-52,,
,,,,,61,,8-43,,,,,,11,,,,,70,,,,,91,,,,,,63
,91,,,52,,,,,33,,,,52,,,,16,,,,52,52,81,33,,,,,1
,,88,52-91,43,43,,33,,,,,,,11,,,52,,,,33,,,,,15,,,
,63,,,,,,8,,,,,,,,18,,,,,,,,,,,,,28,91
,,,88,,,,,,14,,,,81,81,,,,,72,,,,,,,14-43,,,
81,48,1,,52-74,,84,58,,,81,,,,,,,,,36,,,35,,,61,,,,
,,,85,,52,33,,11,,33,43,,,,,,,,,8,,,,,,,,,91
,,,,57,1-33-79,,,,81,,,,95,,,,,,,,,,,,,,88,,
,,,,,,80,,38,91,,,,81,52,,,81,41,,,,92,33,14,33,,,14,91
,,,,16-14,,,,,,33-20,91,,,,,,,,,,,63,,,43,,48,,1
,,91,,,,,60,52,91,,,77,,58,,,,,,,81,33,,,,,,,33
,36,,,,,,,,,,,,,,,,,,,,,,,,33,,65,,
,57,,,4,64,,,,,4,,,91,,14,,81-95,,,,,,,81,,52,,,
,,11,,,,,,,1,,,33,40,,,,15,52,40,69,,,,49,81,,18-81,,
61-91,,,,,,,79,52,,65,33,,,,,,,,77,14,,,,91,,52,,,
14,14,,,,,52-34,,81,,,36,,,,,,,,,,,,,97-20,,,,,
,27,,,60,43,,,,,,,,,,,52,52-52,14,,,,63-21,50-27,71,,,,,
52,6,,,,,,,,,,15,1,,,,,,57,26,38,,52-8-81,,,52,,,,
,,,81,,,,,,,,,,81,91,91,71,38,,,,,,,,85,52,,,
,,,,,81,52,,,,36,,95,92,,,,8,,52,,81-27,,20,,,,,58-91,
16,,,,15,,,,,,1,,,,,14,,81,,,,43,,,52-81,8,14,81,,
,,,,52,,,,,14,,,,,,,96,,,,,40,,,,,,70,,52
,,,20,,72,,,,,,,,,,,,,,,,52,,,,,,,81,81-91
,58-88,,,,81,,,,,,,,,,38-16,,74-36,,,91,,,69,88,,43,,,
,88,50,,96,,61,,,,,,,,8,,,,,,,,,,,,,,,
,,,,74,,,14,91,,,37,,,,,,,,,52,,,,11,,12,,,90-43
,,,,36,72,87,31,,,,1,43,,52,,,,,43,,,33,,,11,,,,36
,74,,,91,,,86,,,,,61,81,,,,,,,69,,4,43,,,,,28,
,,38,,69,,,,,,52,14,,,,,1-33,,33,,,69,,95,,74,,,52,
81,,,,,,,,15,,,63,,,,81,,52,14,,38,,33,,,,,,,
,,79-91,,,,,,,,,,,18-33,8,,,,81,,52,16-33-27,,,,28,,,,4
,,,,,,,,59,61-91,81,,81,,,,,,33,91,81-91,95,,,36-91,,,52,70,
58,,33,36,52,,14-81-96,,,52,,,43,,,,,1-14,,,,52,6-3,,14,1,,,,38
92,91,,,36-11-70,,88,,,,,,,20-27,,,,,,,,81,3,52,,,,,,
,,74,,14,,,,,,,52,52-52,,,95-52,,,,,,,33,,,8,96,,,
14,,91,81,,52,,52,,70-63,,52,33,43,81-12,52-15,14,8,81,71,88,,,,,81,,,,
,96-39,91,52,,14,,33,,,,,84,,52-91,,,,20-81,,,,,87,,,,,,
,,81,,52,,,,33,,,,52,,,52-36,15,,92,,,,,,85,,,,,65
,,,,,,,92-16,52,,4,33-33-43-74,84,,,94,74,,,,,81-85,,1-43,,,70,,,
,,,,,,85,,,96,,,,48,,,8-20,33,43,,,,91,,,,,81-52,52,
,58,52,,,60,,,,95,,,,18,,,33,,,,,16,,,,,27,,,
,,,20-59,,,,,,,,52,,,80,,,,83,,71,,,65,,58,,,,91
91-15,,,,,81,,,,,,,,,,71,57,,,,21,,,,16,,,61,,91
,14,12,,,,,66,60,92-4,,,,52,52,,61-3,,,52,,,,,90,,52,,,91-55
52,,,,,,33,,,,,,65,50-18,,,,,,,,,,,,,,33,,
,58,,,,,81,,,,,,,,,,,,,36,,,,,,16,14,,,
,,79,20,,,,,,88,,,,,,,58,81,,52,,,,,,,59,,25-91,
,,,11,52,,,21,,,,,14-81,,,,,,1,,,,,,52,33-81,,,,33
63,,,,58-15,50,14,,,,52,,,14-36,,,,,,,,33,,,33,,,,,81
,,81,16,97,,,81,,,,,,1,,81-61,,33,,58,,,33,,,,,,,
,,,31-92,,,26,52-52,65-85,83,,,83,,92-36,97,,50,,,79,,,,,38,36,,,
,,,,,,91,,27,,52,,33,,,,33,,,,,,,,,,,,,
,,8,,33,,,,52,74,,,,,43,,,80,,,,,,,,,,,92-91,33-91
,70,,,,,,,,,,,92,89,,,,71,,,,38,,96,,8,,74,,
,,,,,33,,,,,,33,52,,,,91,,96,,,52,81-81,,,,,,84,
,51,,,,,,52,,,,8,18,,8,,81,33,,,,,63,27,88,,52-72,43,,11
90,,,70,,,4,,,,,,,,,,,,,,,,,96,,,,,,
50,,,,,,1,,,,,15,,,,52,38,1,83,87,,,33,33,,57,,63,,
,,57,,,,,,,3,,,,,,,58,,4,,,,,79,,,,,,14
,,70-18,,,,,,81,,,,,,52,,,33,,,,51,52-52,,,38,,,14,63
92,52,,,,52-71,,,,,8-52,,91,96,,,,,,,,,33,50,,56,,,,
,36,,,,1,,38,,,74,,,,,,74,96-20,,,,,33,,33,,,,,81
1,,58,,,,,,,,,58,,,,52,,,,,,,,,14,4,,,,
14,,,,,,,,,52,,,,52,,33,14,,,,,,,36,,,,52,,
,,14,38,,,95,36,50,,,14,11,16-11,,87,,,,,,33,,52,83,47,92-81,,91,
,,,91,38,,,,,,,,81,,,,,58-91,74-33,12-52,81,,,,26,,,,92,91
,,,,,72-57,,36,,,,,,,52,31,,,,,,,,,,,11,,20-4,
33,,,,,,,52-81,,,,,,,,,,,,47,,36,,,,,,,,14
,52,,,,,,,,,,,,,,,,74,,,,,,,,,81,43,,
,81,91,,95,,,,84,,,,,,,,,,,20,,,,33,,,,,,
,83,82,,91,,60,,33-41,15,,,,,,,,,,,,96,,,,,,57,,
,,,,1-74,81-8-57,,,,,,,,26,,,,,,,,27,,,,,15,,,43
,,,,,,,,,,,,4,,,,,,,,88,,,20,,,52,33,,
81,33,63,,,63,,,,11,,,,91,27,,,20,,,,,,,52,,,,32,
,,52-27,70,,,,,70,11,,,,92,,55,,,20-81,,,,,41,52,,77,,,69-52-81
,,83,,,,,,,52-48,91-16,,,,,50-81,,,,,,,,,20,,,,,
,,,,,79,,8,,,,,,,,,,52,,,,,,,,,,,,
,,,,,,,,48,,,,,61,,70-52,,24,,,49,,,,,,,79,,
,,,,95,,,,,33,,,,,,32-14,63,,21,,87,16,52,58,,,,8-92,,
14,,,,,14,4,57,36,,,90,,,15,90,,,,,,72-91,4,,,,24,,,
,,,,,,58,,,,33-11,,80,,81,,,,,,,,,,,,,,,74
,27,,,,,20,,,,,26,43,,,,,,,,,,69,,,,1,,,
,14-83,,,,,,,,,1,,,,,,,,,,14,,1,,,,,84,81,88
,11,,,95,,43,91,,,,,33,,3,14-14,,,,,,52,,,,,,,,
,,,,,,43,,,,81,63,,,,,,52,,,27,,,,,,,,,
,,,,51,,,,,85-79,,,38,,52,63,,,,83,52,33,,,,26,,,,
33,,90,,,,,8,,,61,95,,,,,,,,,,,27,,,,,33,41,
,81,74,28,,33,,16,,,,,,,96,52-33,,33,,,91,,,,81,,50,,,
,,48,,,,,,,81-33,,,,,,90,,,36,58,,8,,,,14,,11,,
,,,,,,,,,38,,43,11,,,,95,,,85-95,,,,,,,,21-83,,
,,,,,27-27,,,,,,,46,,,,,,57,,,91,33,85,,,91,,,33-95
,,81,59,33,,27,,,,,,,52,,,,,,,,,,,,,91,50,1,
52,33,52,,,63,43,33,,,,,,33,74,,52,,14,14,,,,,,,,58,38,
,91,,,,,,,,,,,91,,,47,,,43,,,,,,,4,,,,
33,,,,,91-83,,,,,91,,,58,82,,52,,71,51,91,,,91,,,,,52,
81,,,,,,,43-61-81,81,,,,,,,91,,,,,52,15,,,81,,1,,33,12
,,,,27-14,,14,,,20,,,,,,,,52,58,,,,,,,90,,,,58
70,,,,,,,,,,,,36,,36,70,,,70,,48,,,,,84,,46,,81
,,,,14,,,,,33,,,,,52,,97,,,,,58,,,,52,,,,
,,,,1,74,,14,,48,,53,,,,72,,,,,,,,,,,61,81,,52-11-43
36,,,14,,,31-58,,,81,51,,,,,,,28,,,,,20-33-95,,,,,,,
,58,,,20,,,,,58,,,,,92,,13,,,14,,,,,,61,34,,84,
65,,,71,,90,,63-14,,,14-8,33,27-91,52,1-52,,,,,,81,,48,,20-1,,,,,
97,52,,52,,,,57,27,,,,,,,,95,96-91,,,,,,,,,82,16,81,
,,,,,,,35,,,,4,,,,,,,,20-52,16,91,,,58,,58,,,
,,61,,,,,,,,52,12-36,,,,91-81,31,,,,,,,8,,,15,65,,
,,85,,,,,,,15,,,63,,,,33,,,,,,31,,,,20,,,81
33-81,1,,,,,72,35,,,,,,,,,52,,,,,,,,,,33,,,
,,,33,,58,,65,,,81,,,,,,,,,,52,,,,,,48,,91-97,
,,,58,,81,,91-96,90,,,23-14,11,,33,,,33,,,52,33,41-1,81,81,,,,,
,,,,,25,,97,,95,,,52,,86,55,,,,,,,,,,,,,14-4,
96,,,,,,,66,,,,,70,91,,52,,,,,,74-61,,,3,,,81,,
,90,,,,,,,91-63,,,,,,,,,,38-38,,,,92,,20,,,,,
,,,,77,,,,,,,,33,14,,14,52,,52,,,,83,,,,,,,52
,,,,,,,81,,,,,65,91,1,,52,52,,,,,,,81,,81,,,33
,,85,,,63,,,,43-28,,,40-8,,,,52,,,,,,90,90,,,,,,
,,,,,81,,,52,58,8,,38,,,,36,,,,81,,,,,,,,,
,72,,,81,81,,51,,,34,,52,,,,,,,,,,,,,,,,16,92
,,,,71,1,,,,,14,,96,,,63,14,,81,,,,,,91,,,,,
,,,,,,,,,,,,81-58,57,72,58,85,,69,33,,,,,,,,,,
,91,,14-81,52-15,,16,84,,,,,,,43,,,61,,,84-14,52,,,57,,,,,
,,,,,6,,,58,52,14,,,,,,48,,95,,,,20,,,,,,,
,,,,,,,,,95,69,91,,,,91-33,52,92,,60-11-4,,,96,52-1,,,33,,,
,,,,,61,,,,,35,92,,14,,,,,18,,,,,,,83,,,74,
74,,,,,,,,33,11,,,,,23-26,,,,,,3,,43,,,,33,,,
20,,,,,,,66,,,,35,,96,26,,,3,,,,40,,,,,,,52,
,,,,,36,,43,,,,,,,91-36,,,,,36,,,86,,,,,,,
,90,,14,61,,,,,18,,,61,,,,81-97,,,,,,,,,,,,,14-52
21-36,52,,33,,65,,,,,65,,14,,,,,61,,,74,,,,,,,,,1-14
14,52,,,,81,,,,,61,,52-53,,,,,,14,,91,,,,52,,,,95,
,,55,14,,,,,91,,,,52,,,27,,33,,,91,88,,81,,,,,20-61,
,,,,91-43,70,,,58,40,43,,,,72-43,,38-52,,,,,,,,,,,,43,
,90,,91,,,,,,,,66,74,,,,74-24-51,91,,,,31-33,59,,52-52,81,,,,89
,,92-33,,,,38-74,95,,,81,70,,92,,,,,,,36,11-20,,,,,,,,
,43,,,,,,,82,,,33,,,,81,33-18,,,8,,,,,,,,91,,
52,72,,13,,,55,14-14,,,,,33-81,,,,,52,,,,,38,,,,,92,,52
,,,85-4,52,96,,,,,33,,,58,52,,,81,20,,,,,,,,86,,65,
,,74,,20,,,,,,12,38,,81,,,,,,,14,,,,96,81,,83-52,91,
81,,,,,52-33,,,,,,,,33-70,4,,52,92,,,,,24,52,,,,,52,52
20,,,81-47,,,,,,,,20,,91,,91,,91,95,,38,,,,81-18-65,14,,,,14
,,79,1,81,,88-50,,4-4,20,,15,,,81,,,,,,,,35,,,,,,52,
,81,,,33,,58,,,14,,,,,38,,20,,14,,,33-43,26-58,95,,,,14-20-20,,
,33,91-33,52,,81-33,,,,,,81,,,,15,,,,,,,,52,,52,14,,81,81
,,,,33,,,,,,,,,,,,,,,,58,,20,74,,,,,,
,,,,,52,,74,,,,52,,1,58,,,,,,,,,81,48,,,52-52,,
,,,,,,52,52,16,,,94,52-92,,,,,,,72,,,,,,52,,,,63
,,,,,,,,14-96,52,33,57,,,,50,,,,58,,,,,81,,,,18,4
,,37,,26,,,77,,,61,,,,,,,52,,,27,,,,,,,,,91
85,8,,50,35-20,,91,,,,,,,,,,,66-35,72,,,,36,25,,43,,,,
,70,,58,,,84,,,,,,,,,,,,,37,,58-14,,27,,,,52-81,61,16
,,,,,,48-18,,,,,,,,,,81,70,,,,43,,27,,43,,,,
,74,2,,43,,,,,52,74,,,,,,,,,,,,,,14,,20-51,,91,
,,81,,59,,,,11,,1,91,81,,,,,,,74,,,,4-88,,,,24,63-96,
,,,,81,,,,,95-58,,52,,,,,,,,,63,,11-91,,,,,,,
,,,52,12,,,,,,,,,,,,60,21,,,52,,,52,71,,91,,,
58,,,,,,,,,81-20,,43,,,,34,,57,40,,85,,,,,,,81,57,
,,,47,,,,96-70,,,,,,,87,81,91,95-52,,81,,,,58,,,52,,,
43-33,,,52,70,,,,52,,,,74-20,,,,33,,33-92,,74-61-95,,,,,,,,33,61
,,,,,,,,,81,,,,,52,52,,,52-33,,91,52,,43,,,,,94,
,,,33,81,,,,,,,,14,,,,,,74,1,,71,,52,81,,,95,,80
,,,91,,90,,91,,8,18-72,,,,,,,58,,85,18,,,81,,,,,,90
,,33,,,,4,52,,,,14,,43,,,,72,4-81,1,,,,,,,,20,36,1
,74,,,,,,,,,1,,27,,58,,,52,,57,,,,,,,,,,
,63,,,,,,33,,74-57,,33,8,,,,,,33,15-16,81,,,,,,,,,
,,,,,,14,26,8,33,,,,,,,81,20,,57,14,14-3,52-16,,52,,,,,
,83,,,,,,,,,,,,52,,,81-14,,,,,,52,,,,,,,
,,52,97,,69,91,1,,,16,,52,,8-15,,,61-58,,52-11,14,,,,,,,,,67
81-14,,71,,,91,,,,,,,,,40,,28,95,,91,79-52,,81,61-65,52,,,95,,57
95,,,,,,52-55,52,,,,,,,,,,,,,52,,92,,,,,,52-11,
